Class;Name;Signature;Ret Type
com.aelitis.azureus.core.dht.router.impl.DHTRouterContactImpl;getTimeAlive;;long
com.aelitis.azureus.core.dht.router.DHTRouterContact;getTimeAlive;;long
com.aelitis.azureus.core.dht.router.impl.DHTRouterContactImpl;getFirstFailTime;;long
com.aelitis.azureus.core.dht.router.impl.DHTRouterContactImpl;getLastAliveTime;;long
com.aelitis.azureus.core.dht.router.impl.DHTRouterContactImpl;getFirstFailOrLastAliveTime;;long
com.aelitis.azureus.core.dht.router.impl.DHTRouterContactImpl;getFirstAliveTime;;long
com.aelitis.azureus.core.dht.router.impl.DHTRouterNodeImpl;getTimeSinceLastLookup;;long
com.aelitis.azureus.core.subs.impl.SubscriptionResultImpl;getTimeFound;;long
com.aelitis.azureus.core.subs.SubscriptionResult;getTimeFound;;long
com.aelitis.azureus.core.subs.impl.SubscriptionResultImpl;getTimeFound;;long
com.aelitis.azureus.core.subs.impl.SubscriptionImpl;getAddTime;;long
com.aelitis.azureus.core.subs.Subscription;getAddTime;;long
com.aelitis.azureus.core.diskmanager.cache.impl.CacheEntry;getLastUsed;;long
com.aelitis.azureus.core.diskmanager.access.impl.DiskAccessControllerInstance;getIOTime;;long
com.aelitis.azureus.core.content.RelatedContentManager$DownloadInfo;getLastSeenSecs;;long
com.aelitis.azureus.core.content.RelatedContentSearcher$ForeignBloom;getCreateTime;;long
com.aelitis.azureus.core.content.RelatedContentSearcher$ForeignBloom;getLastUpdateTime;;long
com.aelitis.azureus.core.content.RelatedContent;getChangedLocallyOn;;long
com.aelitis.azureus.core.peer.cache.CacheDiscovery$CachePeerImpl;getCreateTime;long;long
com.aelitis.azureus.core.peer.cache.CachePeer;getCreateTime;long;long
com.aelitis.azureus.core.messenger.PlatformMessage;getFireBefore;;long
com.aelitis.azureus.core.messenger.PlatformMessage;getMessageCreated;;long
com.aelitis.azureus.core.download.EnhancedDownloadManager$progressiveStatsCommon;getProviderLifeSecs;;long
com.aelitis.azureus.core.peermanager.piecepicker.impl.PiecePickerImpl;getAvailWentBadTime;;long
com.aelitis.azureus.core.peermanager.piecepicker.PiecePicker;getAvailWentBadTime;;long
com.aelitis.azureus.core.peermanager.nat.PeerNATTraverser$PeerNATTraversal;getTimeUsed;;long
com.aelitis.azureus.core.instancemanager.impl.AZOtherInstanceImpl;getAliveTime;;long
com.aelitis.azureus.core.tag.TagDiscovery;getTimestamp;;long
com.aelitis.azureus.core.devices.impl.DeviceOfflineDownloaderImpl$TransferableDownload;getStartTime;;long
com.aelitis.azureus.core.devices.impl.DeviceImpl;getLastSeen;;long
com.aelitis.azureus.core.clientmessageservice.impl.ClientConnection;getLastActivityTime;;long
com.aelitis.azureus.plugins.net.buddy.BuddyPluginBuddy;getLastTimeOnline;;long
com.aelitis.azureus.plugins.net.buddy.BuddyPluginBuddy;getLastMessagePending;;long
com.aelitis.azureus.plugins.net.buddy.BuddyPluginBuddy;getLastStatusCheckTime;;long
com.aelitis.azureus.plugins.net.buddy.BuddyPluginBuddy$buddyConnection;getLastActive;long;long
com.aelitis.azureus.plugins.net.buddy.BuddyPluginBeta$ChatMessage;getTimeStamp;;long
com.aelitis.azureus.plugins.dht.impl.DHTPluginStorageManager;getNextValueVersions;int;long
com.aelitis.azureus.core.dht.DHTStorageAdapter;getNextValueVersions;int;long
com.aelitis.azureus.plugins.dht.impl.DHTPluginStorageManager$diversification;getExpiry;;long
com.aelitis.azureus.plugins.dht.impl.DHTPluginStorageManager$storageKey;getExpiry;;long
com.aelitis.azureus.plugins.tracker.dht.DHTTrackerPlugin;getSeedCount;;long
com.aelitis.azureus.plugins.tracker.dht.DHTTrackerPlugin;getNonSeedCount;;long
com.aelitis.azureus.plugins.tracker.dht.DHTTrackerPlugin;getTimeToWait;;long
com.aelitis.azureus.plugins.tracker.dht.DHTTrackerPlugin;getSeedCount;;long
com.aelitis.azureus.plugins.tracker.dht.DHTTrackerPlugin;getNonSeedCount;;long
com.aelitis.azureus.plugins.tracker.dht.DHTTrackerPlugin;getTimeToWait;;long
com.aelitis.azureus.plugins.tracker.dht.DHTTrackerPlugin;getSeedCount;;long
com.aelitis.azureus.plugins.tracker.dht.DHTTrackerPlugin;getNonSeedCount;;long
com.aelitis.azureus.plugins.tracker.dht.DHTTrackerPlugin;getScrapeStartTime;;long
com.aelitis.azureus.plugins.tracker.dht.DHTTrackerPlugin;getNextScrapeStartTime;;long
com.aelitis.azureus.plugins.tracker.dht.DHTTrackerPlugin;getSeedCount;;long
com.aelitis.azureus.plugins.tracker.dht.DHTTrackerPlugin;getNonSeedCount;;long
com.aelitis.azureus.plugins.tracker.dht.DHTTrackerPlugin;getScrapeStartTime;;long
com.aelitis.azureus.plugins.tracker.dht.DHTTrackerPlugin;getNextScrapeStartTime;;long
com.aelitis.azureus.plugins.extseed.util.ExternalSeedHTTPDownloaderLinear;getLast503RetrySecs;;long
com.aelitis.azureus.plugins.extseed.util.ExternalSeedHTTPDownloader;getLast503RetrySecs;;long
com.aelitis.azureus.plugins.extseed.util.ExternalSeedHTTPDownloaderRange;getLast503RetrySecs;;long
com.aelitis.azureus.plugins.extseed.util.ExternalSeedHTTPDownloader;getLast503RetrySecs;;long
com.aelitis.azureus.activities.VuzeActivitiesEntry;compareTo;Object;long
com.aelitis.azureus.activities.VuzeActivitiesEntry;compareTo;Object;long
com.aelitis.azureus.activities.VuzeActivitiesEntry;getTimestamp;;long
com.aelitis.azureus.activities.VuzeActivitiesManager;getCutoffTime;;long
org.pf.file.FileLocator;lastModified;;long
org.pf.file.FileLocator;lastModified;;long
org.gudy.azureus2.ui.swt.shells.MessageBoxShell;getAutoCloseInMS;;long
com.aelitis.azureus.ui.UIFunctionsUserPrompter;getAutoCloseInMS;;long
org.pf.file.FileLocator;lastModified;;long
org.pf.file.FileLocator;lastModified;;long
org.gudy.azureus2.ui.swt.shells.MessageBoxShell;getAutoCloseInMS;;long
com.aelitis.azureus.ui.UIFunctionsUserPrompter;getAutoCloseInMS;;long
org.gudy.azureus2.ui.swt.views.stats.DHTOpsPanel$ActivityDetail;getCompleteTime;;long
org.gudy.azureus2.pluginsimpl.local.ipfilter.IPBlockedImpl;getBlockedTime;;long
org.gudy.azureus2.plugins.ipfilter.IPBlocked;getBlockedTime;;long
org.gudy.azureus2.pluginsimpl.local.ipfilter.IPFilterImpl;getLastUpdateTime;;long
org.gudy.azureus2.plugins.ipfilter.IPFilter;getLastUpdateTime;;long
org.gudy.azureus2.pluginsimpl.local.utils.UtilitiesImpl;getCurrentSystemTime;;long
org.gudy.azureus2.plugins.utils.Utilities;getCurrentSystemTime;;long
org.gudy.azureus2.pluginsimpl.local.download.DownloadStubImpl;getCreationDate;;long
org.gudy.azureus2.plugins.download.DownloadStub.DownloadStubEx;getCreationDate;;long
org.gudy.azureus2.pluginsimpl.local.disk.DiskManagerChannelImpl;getStartTime;;long
com.aelitis.azureus.core.peermanager.piecepicker.PieceRTAProvider;getStartTime;;long
org.gudy.azureus2.pluginsimpl.local.peers.PeerForeignDelegate;getTimeSinceConnectionEstablished;;long
org.gudy.azureus2.pluginsimpl.local.peers.PeerForeignDelegate;getTimeSinceConnectionEstablished;;long
org.gudy.azureus2.pluginsimpl.local.peers.PeerForeignDelegate;getTimeSinceLastDataMessageReceived;;long
org.gudy.azureus2.core3.peer.impl.PEPeerTransport;getTimeSinceLastDataMessageReceived;;long
org.gudy.azureus2.pluginsimpl.local.peers.PeerForeignDelegate;getTimeSinceGoodDataReceived;;long
org.gudy.azureus2.core3.peer.impl.PEPeerTransport;getTimeSinceGoodDataReceived;;long
org.gudy.azureus2.pluginsimpl.local.peers.PeerForeignNetworkConnection$tp;isReadyForRead;EventWaiter;long
com.aelitis.azureus.core.networkmanager.TransportBase;isReadyForRead;EventWaiter;long
org.gudy.azureus2.pluginsimpl.local.peers.PeerManagerImpl;getTimeSinceConnectionEstablished;Peer;long
org.gudy.azureus2.pluginsimpl.local.peers.PeerManagerImpl;getTimeSinceConnectionEstablished;Peer;long
org.gudy.azureus2.pluginsimpl.local.peers.PeerManagerImpl;getTimeSinceConnectionEstablished;Peer;long
org.gudy.azureus2.pluginsimpl.local.peers.PeerManagerImpl;getTimeSinceConnectionEstablished;Peer;long
org.gudy.azureus2.pluginsimpl.local.messaging.GenericMessageConnectionIndirect;getLastMessageReceivedTime;;long
org.gudy.azureus2.core3.ipfilter.impl.BlockedIpImpl;getBlockedTime;;long
org.gudy.azureus2.core3.ipfilter.BlockedIp;getBlockedTime;;long
org.gudy.azureus2.core3.ipfilter.impl.IpFilterImpl;getLastUpdateTime;;long
org.gudy.azureus2.core3.ipfilter.IpFilter;getLastUpdateTime;;long
org.gudy.azureus2.core3.ipfilter.impl.BadIpImpl;getLastTime;;long
org.gudy.azureus2.core3.ipfilter.BadIp;getLastTime;;long
org.gudy.azureus2.core3.util.TimeFormatter;parseHTTPDate;String;long
org.gudy.azureus2.core3.util.SystemTime;getHighPrecisionCounter;;long
org.gudy.azureus2.core3.util.SystemTime$SteppedProvider;getTime;;long
org.gudy.azureus2.core3.util.SystemTime.SystemTimeProvider;getTime;;long
org.gudy.azureus2.core3.util.SystemTime$SteppedProvider;getMonoTime;;long
org.gudy.azureus2.core3.util.SystemTime.SystemTimeProvider;getMonoTime;;long
org.gudy.azureus2.core3.util.SystemTime$SteppedProvider;getMonoTime;;long
org.gudy.azureus2.core3.util.SystemTime$SteppedProvider;getMonoTime;;long
org.gudy.azureus2.core3.util.SystemTime.SystemTimeProvider;getMonoTime;;long
org.gudy.azureus2.core3.util.SystemTime$SteppedProvider;getMonoTime;;long
org.gudy.azureus2.core3.util.SystemTime$SteppedProvider;getSteppedMonoTime;;long
org.gudy.azureus2.core3.util.SystemTime.SystemTimeProvider;getSteppedMonoTime;;long
org.gudy.azureus2.core3.util.SystemTime$SteppedProvider;getSteppedMonoTime;;long
org.gudy.azureus2.core3.util.SystemTime$SteppedProvider;getSteppedMonoTime;;long
org.gudy.azureus2.core3.util.SystemTime.SystemTimeProvider;getSteppedMonoTime;;long
org.gudy.azureus2.core3.util.SystemTime$SteppedProvider;getSteppedMonoTime;;long
org.gudy.azureus2.core3.util.SystemTime$RawProvider;getTime;;long
org.gudy.azureus2.core3.util.SystemTime.SystemTimeProvider;getTime;;long
org.gudy.azureus2.core3.util.SystemTime$RawProvider;getMonoTime;;long
org.gudy.azureus2.core3.util.SystemTime.SystemTimeProvider;getMonoTime;;long
org.gudy.azureus2.core3.util.PausableAverage;getEffectiveTime;;long
org.gudy.azureus2.core3.util.TorrentUtils;getMillisecondsSinceLastTorrentDelete;;long
org.gudy.azureus2.core3.util.Average;getAverage;;long
org.gudy.azureus2.core3.util.Average;getAverage;int;long
org.gudy.azureus2.core3.util.Average;getEffectiveTime;;long
org.gudy.azureus2.core3.util.jar.AEJarBuilder;buildFromResources2;OutputStream,ClassLoader,String,String[],String;long
org.gudy.azureus2.core3.util.jar.AEJarBuilder;buildFromResources2;OutputStream,ClassLoader,String,String[],String;long
org.gudy.azureus2.core3.util.jar.AEJarBuilder;buildFromResources2;OutputStream,ClassLoader,String,String[],String;long
org.gudy.azureus2.core3.util.jar.AEJarBuilder;buildFromResources2;OutputStream,ClassLoader,String,String[],String;long
org.gudy.azureus2.core3.util.jar.AEJarBuilder;buildFromResourcesSupport;JarOutputStream,ClassLoader,String,String[];long
org.gudy.azureus2.core3.tracker.server.impl.udp.TRTrackerServerProcessorUDP$connectionData;getTime;;long
org.gudy.azureus2.core3.tracker.server.impl.TRTrackerServerPeerImpl;getSecsToLive;;long
org.gudy.azureus2.core3.tracker.server.impl.tcp.nonblocking.TRNonBlockingServerProcessor;getStartTime;;long
org.gudy.azureus2.core3.tracker.server.impl.TRTrackerServerTorrentImpl$announceCacheEntry;getTime;;long
org.gudy.azureus2.core3.tracker.server.impl.TRTrackerServerTorrentImpl$QueuedPeer;getCreateTime;;long
org.gudy.azureus2.core3.tracker.server.impl.TRTrackerServerTorrentImpl$QueuedPeer;getSecsToLive;;long
org.gudy.azureus2.core3.tracker.server.TRTrackerServerPeerBase;getSecsToLive;;long
org.gudy.azureus2.core3.tracker.client.impl.TRTrackerAnnouncerMuxer;getTimeUntilNextUpdate;;long
org.gudy.azureus2.core3.tracker.client.impl.TRTrackerAnnouncerMuxer;getTimeUntilNextUpdate;;long
org.gudy.azureus2.core3.tracker.client.impl.TRTrackerAnnouncerMuxer$StatusSummary;getTime;;long
org.gudy.azureus2.core3.tracker.client.impl.TRTrackerAnnouncerMuxer$StatusSummary;getSecondsToUpdate;;long
